Text,Sentiment
Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!,negative
Twitter has spoiled all the fun. Frustratingly slow!!  couldnt even bid properly!,negative
_chick haha. I completely agree,positive
Going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,positive
" many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha",positive
it`s nice to leave the office when the sun is still up,positive
I will miss the soccer moms,negative
just watched yes man. bahaha. that movie is messed up,negative
 Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years,negative
" Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.",negative
Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost,negative
 glad to know that the ad display problem was due to a firewall config at yr office. phew!,positive
 woot!,positive
Happy #StarWarsDay. May the 4th be with you!  From everyone _paintball,positive
St joe is dirty.,negative
I hate my life,negative
sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.,negative
 ****! natalya! you gotta tell me whats going on!!! i`d call you but i lost all my phone numbers when i broke my blackberry,negative
just thought about how unfair 3 ppl have been 2 me n got depressed again  HATERS!!!,negative
crying real tears,negative
 Panchito`s burfday party tonight... wish you were here kiddo!,positive
the best things in life are free  x,positive
misses my Mom today. She was my Best Friend and even though she has been gone several yrs I still miss her dearly. Happy Mother`s Day,positive
I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough,positive
 that is a bummer,negative
http://twitpic.com/665jw The racoons ate our bread!,negative
Be sure to let the moms you know how fabulous you think they are!!   Almost Mother`s Day.,positive
No launch today. Teacher changed plans and we watched a stupid move about tesla,negative
  it`s very pleasant. i sooo rarely just have time to kill...,negative
 thank you!! ooh I see you`ve read Desert Islands http://is.gd/ys6K great book!,positive
__O lol but tiz a good song,positive
"@_Anix_ I bought cheesecake ice cream last week, thinking it was good, and it sucked so much.   I`m taking yours.",positive
_Wright THANK YOU! 'Return of the Mack' is THE jam!,positive
Ready for this saddenning depressing dullful upsetting dreadful weekend.,negative
sorry for my lack of tweets  ive been buzy. new vid this saturday!!,negative
" I do my humble best  Going on a works paintball day soon so that should fuel a few strips, no doubt",positive
going to bed  cant take thiss any longeerr maan. [U],negative
_Morden ..be at richard`s. if not then i`ll see you when you/we get back  good luck!,positive
Spent the last hour signing yearbooks. I`ll miss you guys!,negative
And I just love every little thing about you...,positive
My mobile has stopped recieving text messages AGAIN. Stoooopid thing,negative
Had an amazing night with my favorite lady friend,positive
_Oyler Poor little woman with her smushed in head,negative
is fixin to clean the house for my mom for mother`s day,positive
 Hey! That`s my school! I hate that place.,negative
 i did i only got 3 stars on the pre wash then failed the rince,negative
MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND,positive
I`m really bored! My brother went to get his permit! Stay off the roads! Jk lol! It feels like all my friends have abandoned me! Except 1,negative
", goodnight",positive
"_The_Moon Hiya hun! It`s just not my day. Dentist appointment (ouch!),notebook being a ****. Feeling sick  How`s you?",negative
" but i do emily ahahha you scare me, so it would work",negative
should not have waled past the Quad! I want to be outside having fun.,negative
i think the food i ate made me sick.. i no feel so good,negative
"Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee",positive
Just wants to stay in bed all day but has to go to work instead  sux,negative
chillen trying to figure this thing out gettin drunk,negative
Filming at a carnival for my music video... It reminds me of the Cherry Festival that I used to go to back home... Ahhh memories...,positive
I`m siiiiiickkk  I dun feel good!!,positive
 Propellerheads has been on my harddrive for a long while. Just got my music repo back in shape this WE and felt nostalgic,negative
Glorious sunny day in London town.. I`m in drama school fighting people with swords while protecting my romantically structured face,positive
_89 I feel so sorry for her  hope she dnt cry 2nd time,negative
would wish the severe migrains would stop!!! doc`s prescriptions arent working,negative
"09/09 +full moon+ my lovely friends and family= my b-day wish came true;)<3 In addition,gray matters is one of the cutest movies ever!!",positive
My Life Would Suck Without You - Kelly Clarkson,negative
" you should so host the next logies, i only laughed at your bit really",positive
__joy i feel like red lea now,negative
thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had  oucccccccch,positive
Is miserable  i feel like im gona cry  sux!,negative
 i know they are delicious.miss germany but like holland as well as we used to shoppin there at weekends.lol,positive
" LOL, very true. Maybe next year. I loooved that siggy, and I don`t remember what the password for the mod thing was  Cake?",positive
 Hope you did great - you certainly spent enough time studying.,positive
Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me,negative
" I need botox work on the lips if I`m going to change my name to Angelina Jolie, but it`s a thought! Sad though about the racism",negative
Morning all! Have a GREAT DAY! Off to school I go,positive
"now, in a weird mood  muahaz",negative
 congrats! Photo of dre?,positive
"#SanctuarySunday  thanks for joining on #SanctuarySunday, follow more Sanctuary people to keep up to date on the tweets!",positive
"Done at Disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace",negative
" Oh, and a very good review",positive
_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.,negative
I`m extremely hungry.... and the only thing I have in my house is Soup...  I don`t like soup... *pouts*,negative
 its hilarious,positive
 I love the guy that was standing behind me,positive
Bout to hit the sack...got **** to do tomorrow. Happy mothers day MOM!,positive
lost my DC hat ..,negative
 I am soo excited about your pasadena seminar...if only i can find the confermation email,positive
Ugh I don`t feel well again all of a sudden,negative
I want a new phone  I`ve seen too much cellphone commercials (,negative
 we`ll test that theory  with no right arm to strum with.  Got a feelin I`ll be humming my new tunes for a while,positive
 http://twitpic.com/4vuuy - That`s so cool.,positive
school. 39 days !!! so exited. Amazing premier ,positive
  tis very useful indeed esp. for newbies like me!,positive
is relaxing after working on Mothers Day.  Oh well. A good day had.  Hope you are all well,positive
 yup!  Now I can join in on the nin access fun!,positive
 unfair  I wanna go too.,negative
Download movie  'A Good Day to Be Black &#38 Sexy' http://tinyurl.com/ckmkul cool #movie,positive
Jus got back from a run up sunset blvd! My cuzin tried to kill me my legs are still movin and I`m sittin down!!,negative
" Aww, that`s sad.  I miss seeing you guys on the big screen.",negative
" eeeeep so jealous ;) I`m at work  um, how can u receive Viva? Do they broadcast it online? :plz:",negative
 Thank you so much phaoloo !!!!,positive
 the hotel should be thankful,positive
"Watching GH. I feel so bad for Carly.  OMG, so **** up.",negative
 rofl that`s what we like to hear,positive
"Ok I`m frustrated, there is hella dust between the screens of my blackberry",negative
IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[,negative
 thanks for following,positive
" Well, good luck then.",positive
at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes,negative
Arghhhhhhhhh... i can`t keep up with these TwitterBones peeps,negative
making german apple slice  nom nom nom,negative
My tummy hurts,negative
Anybody else experiencing painful slowdowns with facebook?,negative
The poor Pirate had out his last wisdom tooth and is looking really peaky.,negative
Mozzer cancelled tonight by the looks of it.,negative
"waiting for aaron to get into town, and then leave him for work. booo",negative
is going to bed soon. happy mothers day to all the mothers  <333 ryan less than 3 weeks :],positive
"bored bored bored! wish i had something to do tomorrow, especially with the weather we`re to have!  not fair",negative
 well even with her breakdown she was better than the other acts unfortunately! Britain`s got very little talent,positive
" Sadly, I can`t view that site due to region restrictions",negative
"It`s 20:50 hs and i`m still at the office...really tired,wanna go home!",negative
Aly & AJ new album this summer. YAY!,positive
_day26 ~ Awwwww have fun with the fam boo boo,negative
@ lovelytrinkets I like the way you worded that about Rocky Road,positive
Mexican coca cola in a bottle. New favorite thing.  No high fructose corn syrup....  sugar is so awesomely old school.,positive
Got people don`t let me skip sci pratical becos skola is impt and dont waste my parents money.  Nt fair.,negative
 Thanks for the hint.  http://tinyurl.com/chtx7e.,positive
" u welcome babe, kill the show! Yuuupp!",positive
 I was never a good stereotypical teen,positive
I love my Maitu. N she loves me. Happy mothers day mama!,positive
 i am so sorry,negative
i have problems wih pizza..ii love it too much..i`m so addicted to pizza  and Dot Dot Curve. >,negative
So tired.,negative
had a lovely breakfast with mum...yummy pancakes,positive
 Yay! have fun,positive
 Why thank you... Us Mami`s are bringin` sexy back...,positive
 lucky! that`s awesome,positive
"Oh god, a moth was living in a **** power outlet!  (Actually, my PowerSquid.)",positive
"I love  very much  I called him, but he was talking to other fans  I love you a lot Mitchel! I`ll see u in El Cajon. June 7",positive
I misses my bed  so sleepy!,negative
"Woo! Two days till awesome gig, one day till Uni is finished for 12 days  #gigs #3yp",positive
Just found mj mouse flats at DJs. Of course there are none left in my size,negative
I`m dreading hearing even worse news tonight,negative
haappy bank holiday  2 weeeeks. aah!,positive
says my new layout is so cute x) see the cuties ? hahahah  http://plurk.com/p/suqp6,positive
" Good night, Rob. Sleep well. Safe travels tomorrow!",positive
 i know i suck.  my data plan is weak sauce.,negative
 dear oh dear.....,negative
playing at my old school playground still the same except them lame **** got rid of the tire swing,negative
happy mommah`s day to your moms  http://plurk.com/p/stqya,positive
" Lol - I could have written that - would be good to have 2 Mondays this week, then I might catch up x",positive
 Cant wait for DTE in Michigan this summer you guys are great look for me in the customized NKOTB Track Jacket,positive
 nope i have a fifth generation ipod classic  it likes to be dumb,positive
 meetings are overrated.,positive
 I love the smell of procrastination in the morning... oder so.,positive
 I considered being a nurse when I was younger but I really don`t think I could cope if a baby died,negative
 I know.  I am definitely going to try and see Up this weekend.,negative
 Nice!!!!!!!! I WILL be there,positive
Oh No!!!! I must be gettin old!!!! My mom use to watch this show....I miss her,negative
" lol that just totally made me laugh, which made my day",positive
tonight was fun,positive
Good morning!  Just took the longest shower ive ever taken in my life. Like 45 to 50 min shower!! Woah. lol,positive
"Allergies  sun is out, wearing shorts.  Stuck with my advisory the whole day.... This should be boring. Except fun. If people make it fun?",negative
Good  morning! Just went to bed it feels and already morning...goes fast! Now i am going to the gym soon. Have a nice day!,positive
no internet for a week or longer,negative
Jesus Christ meadowhall could do with better air con! Too hot,positive
 I sure she can,negative
 i want to gooo,negative
evryone come here http://www.blogtv.com/People/GinaNicole2 were spamming so much and blogtv is glitching and it might work,negative
Ready for tomorrow. My mommy will get her gift for Mother`s Day. Hope she LOVES it!,positive
Ugh fun concert  screen cracked on phone again because it fell... =\,negative
"So happy, my VStudio shortcuts are backkk",positive
 can`t wait to hear the evp! And cuuuute picture.,positive
Headed to verizon. Praying that pinkberry is going to make it.,positive
Awaiting reply from two projects. One cancelled.,negative
 Have You Watched You Belong With Me?   By My Lovely Sister ) Kiddin.,positive
"Well, Sacramento, I hope you appreciate Rivkah Sass & treat her well. I`ll be sitting here in Omaha, pouting",positive
Leaving the beach .. Having a great day with vicente .. We needed this time together,positive
"Got caught in the rain. Sand Monsoon all the way home, even though i looked like a complete idiot",positive
just left & already misses Nashville  be back sunday,negative
" you`re a busy Bob, I`m jealous. I`m not sure I can even afford to go meet John de Lancie and Leonard Nimoy",negative
I am living in a country where the government is ALWAYS a circus show ... sad but true...,negative
 yep  but I`m going better now,positive
Fun is being had.,positive
$#@! My nose stud fell out and I can`t find it  Looks like I`ll have to head into Amsterdam today and get a new one,negative
_other Excellent analogy,positive
Good morning tweeps. Busy this a.m. but not in a working way,positive
 FOLLOW ME BABY U SAID N DA CHAT U WILL  LUV YA GOODNITE,positive
got a rad new t-shirt from my aunt. Made from some cool shiny shiny pink material.,positive
 it was an awesome talk  find it very true that i am watching the ruby community closely,positive
 hahaha niene ur soo smart.! lmao i think that is who its by..  good lookin.. whts up gurlie?? i come home this weekend.!,positive
"I hereby announce that I am... employed! Couldn`t be happier, Alhamdulillah!",negative
"i juz registered my cp in twitter, but my tweets wont go thru? Argh..Hmm wanna follow my idols lyk  away from the PC..",negative
" Glad to hear you made it out, I hear that place used to be it`s own country  Looking forward to your arrival!",positive
So many farewell parties! sad to see people leaving ..,negative
 - Still a pity it comes with no lamb though,negative
"TAKE THAT, TAKE THAT!!!! IN YOUR FACES!!!!!!!!!!!!  Robbie won!",positive
 no other reason? I wonder if she loves you,positive
 happy birthday ness!!,positive
feels ..my cousin is a monkey  http://plurk.com/p/x23pa,negative
Don`t you hate it when you`re left with one slice of bread left in the bag? Half sandwich.,negative
Loves random acts of kindness and laughter,positive
"Gha, off to work - hopefully traffic has cleared up by the time I get there!!",positive
Just watched another episode of JONAS. Is it better than Hannah Montana? Very much true!,positive
Going to meet the new family I`m babysitting for... Wish I was still sleeeeping,positive
 Hi Heather. I dont know why... but I just saw your messages from April!! Have not been very twitter friendly...,negative
 I know right  Poorpoor girl! It shows why they shouldn`t put young people in competitions like this though (.....) -,positive
" wowie wooie someone updated their twitter without me having to remind you. I`m not even mad,I`m impressed.  how was the lasagna ?",negative
Today is another good day for some less extreme experiences... Anyone a fan of #24? I`m watching season 4 now,positive
" i was going tonight, but you never wrote me back with the info  im sososo sad...",negative
 still not 100%    im sick of being sick!,negative
wat a stressful week i jus hope everything falls into place 4me,positive
with hubby at the dentist ready to hold his hand  and getting nervy about potentially buying a car tomorrow,negative
Aww I got to see my 1st grade teacher`s last day before she retired,positive
" For sure you should continue to Tweet WHILE on conf call, WHILE worrying about cat and bee.",negative
"LOL! Made a huge mess of my school shirt, was using charcoal sticks in 2D art",positive
BGT made me cry tonight,negative
"gawww, why is facebook being so slow?",negative
 im cool  cant wait to hear these stories xoxo,positive
Also I was conviced to do a happy dance and then told it was the most adorable happy dance ever,positive
i feel in love with pizza girl... now i eat pizza everyday,positive
 11 30s way early! anyway nigth night  love you!,positive
" If i say PLEASE REPLY TO ME DOUGIE, will you do it? I double dare you",positive
" MUAHAHAHHAHAHA...   well, maybe they think I`m crazy or something. I haven`t scared  yet though",negative
today got her POP! t-shirt & lovess ittt  haha x,positive
"Perfect night. Best month of my life so far!! You my boo, ",positive
 yayy  you`ll can help me im doing my english homeworks which i had to do during the holidays >.<,negative
 hi ya demi! im glad ur back   http://twitpic.com/4vuuy i personally love the picture! haha,positive
" Think you should do a tour in England, we dont got to see any aweomse people !!",negative
Is bummed out...i don`t have even one testimonial on Flickr.,negative
 I am sorry that you are feeling that way.,negative
yeah so Prom Night is now the Craft (good movie),positive
 don`t go to logan square we`re pretty sure the shirt isn`t there  1 more philly local tmrw,positive
"    I am sending healthy, healing thoughts in the mumborg`s direction.",negative
"Not at prom. Ha! Chinese, iced chai, and some old school pokemon. Good night",positive
"Went on a short flight around the Geelong waterfront.  Surprised at how well I handled it, as I`m still exhausted from last weeks meetup",negative
": I`ll keep y`all in my prayers but welcome back to TX  Hope you have a good,safe flight",positive
Good morning scary world!,positive
"is back at working auditing away, time to make the hard decisions and be happy",negative
 - ummmm. no comment. LOL. I actually have not watched GH in about a week.,negative
 <3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,positive
 Thankfully that face only shows up for photoshoots,negative
" Don`t worry, the bizarre will find you",positive
 Sorry - I have failed to grasp your meaning,negative
Extremely happy to see my new track 'The Awakening' featured on Indivibe   http://www.indivibe.com/vibe.php?city=1,positive
"I love my mom! Happy Mother`s Day, mommies",positive
Just Chilling after MCFLY last night! ABSOULUTELY INCREDIBLE! =D i love them!,positive
"God, why can`t I be at #asylum? Really. I never get to do anything cool!",negative
"working on mothers day slideshow, cake, card, and balloons  she deserves the best!",positive
" Thanks, hope you have a good one",positive
" - You too, thanks for completing  Calvin Appreciated",positive
"Morning everyone sorry for going early last night had bad news, felt totally ****   Today is a new day",negative
 Hahah! That was the best! Thank god for Terry he was laughing so hard. I miss him   I remember racing trucks with him that ...,positive
 KILL IT JASMINE! Haven`t talked to you for ages.,negative
got an awesome hair cut todayyyy  it looks so hottt haha doing homework,positive
 someone`s a sweet tooth  i was dying for somethin sweet so i`ve attacked the chock coated tiny teddies all i could find lol,positive
my apple-mouse doesn`t work on my shiny red coffee table...,negative
" (2) in commentary  , I was with her, was sad, very sad",negative
Yet another good weekend with someone. Sigh. Man I like the boy..,positive
"about to head to the Strand, goodnight",positive
 hiya! been looking for you1,positive
" Aw, that stinks, I`m sorry.",negative
My comp is being slo w,negative
: unfortunately not.  I have to take it to a repair shop or replace it.,negative
 : Come to VietNam to make a live Show Miley. there are so much fans love you at Viet Nam,positive
" 'You guys could have fun in a cardboard box'.. I miss you already, bro.",negative
Josie`s out of surgery. She`s now officially unable to procreate. And She`s way out of it... Poor medicated baby,negative
I signed up for an account on a political website so I could post a comment but it isn`t working.,negative
_NigerianBoi thanks JT i also enjoyed it i will. r u following me? ill follow u back,positive
 sorry 19/female/atl very lonely,negative
"Feeling awful, new medication is making me nauseous",negative
 inooo arent they just  i wanna just go down there now an meet kyle again.. im too obsessed its not fair!,negative
" If I could, I`d send California sunshine your way.",positive
I need a present for my mom.  Could anybody help me ?!,positive
" I am in Weirton Julie, way up North at the tippy top! LOL we don`t think southern WV folks like us too much.",negative
bad mood and i dont feel good. too bad no one cares,negative
" I love you so much.  Just got into my hiding spot, gonna go check out datalounge",positive
"  youre diabetic?   so is my dad.  & i might be too, not sure.  are you still allowed to eat sugar throughout the day?",negative
I just really want to sleep butmy eyes won`t let me,negative
" Ian and I are going to a matinee tomorrow, or that`s the plan at least...it`s going to be too expensive for 3d at night",negative
" I know, but work is so boring. I prefer the  take on life",negative
 Gmorning Hermana! Thank you for your testimonial it is wonderful. Posted already.,positive
"AHHH - Whatchu talkinï¿½ baby?  HAHAHA I canï¿½t believe youu:O heh, actually I can. Life is worth taking risks... http://tumblr.com/xs81qy54s",positive
Off to enjoy a Hanami picnic at the cherry tree park. Hope the weather stays nice.,positive
The comp deleted half my apps,negative
"In Whin Park on the swings, victory is all mine right now",positive
Well it would seem that you can enter nine 0s if you are an Individual without a SSN/ITIN or EIN according to Apple.  Hurray!,positive
 because its like ten times better than this place xD and its so beautiful and fun  and they have gold coast hot dogs!! xD,positive
 oh you are too kind,positive
" yeah, so quick! And I`m using the 5mm addi`s I bought on Sat and it makes it even smoother",negative
"  ummm...last night when I DM`d you, you said it was a 'good' question.",positive
" man, I am really sorry",negative
wow.. tomorrow and then it`s over. i`ll never see some of those people again. it`s kind of sad.,positive
NCAA Baseball Road 2 Omaha: South Carolina just hit a 3-run homerun. Dagger 2 my heart.    Mason 1 - South Carolina 3..,negative
" I send messages to greg all the time, no answer  its ok I still love o & a, goog luck with your move to Erie.",positive
10.11PM~ todays a drag for me. so bored. im about to get into the romance book so i prob wont be on til the morn  night twitter babes ;),negative
"twitter fam, i`m about to hop back on AIM i went ghost on y`all lolz sowwy",negative
 i make them good girls go bad,negative
Sites that republish my blog`s feed often end up higher than my blog on Google search results,positive
oh yes! Level 40,negative
my baby`s off on his adventure. 14.5 hours in the car up to Lake Ann Mi. I admit it. I cried a little when the truck pulled out...,negative
 http://twitpic.com/4uyn9 - I NEED THIS. RIGHT NOW. THIS IS ABSOLUTELY MINDDDD BLOWING  I love this. So much!,positive
frustrated by my stupid iPhone I need a blackberry!!!!,negative
I`m still at the mothers day lunch at my uncles house. Having a nice time!,positive
 Oh! I ate pizza last night too!  I stupidly feel closer to you somehow!,negative
" Oh right,sorry,now i get ya,But still 3000 email`s,wow,cool",positive
? I had great time in Boston. Thanks to my baby girl.   http://plurk.com/p/rplmy,positive
 my bad homie,negative
Good morning everyone,positive
" love this one, especially the shoes  anyway, gmn punya acc lookbook ya? http://lookbook.nu/look/92920",positive
good morning world,positive
And ... Happy Mother`s Day to all Moms   You sure are the ? heart of mankind.,positive
 lol that was a great movie,positive
feels really sick.,negative
Hecks yeah. Jandy timsamlake is too rawesome!,negative
**** internet jus cut me off!  was bout 2 shoot sum guys eye out  ~*~KANDI~*~,negative
Not only has it broken but it`s Monday!!Does this mean Monday can be fix`d?  ? http://blip.fm/~5jgio,negative
People at work are stressing me out.,negative
never trust someone else`s battery operated power tools when you`re in a hurry,negative
 Lol Your tweets are so funny! I met you in Calgary! You`re awesome  Can`t wait for the next HP movie!,positive
is off to work ... still 'recovering' from an amazing and beautiful weekend. Have I mentioned how incredible my friends are??,positive
 so`s the smell of cigarettes and alcohol... at least *i * like it.,negative
`s current goal is to lose 10 pounds by next tuesday! 120 here i come   soooo ready for Gatlinburg!,negative
my best friends bought something which i really want.,positive
" It depends on your goals & how much you want to spend  Cannondale, Specialized and Cervelo are all good brands.",positive
My net died so yeah....  I`m sad now,negative
i dont know why i follow sme of the ppl that i do... they e anoying and boring. * note to self -unfollow peeps on monday morning,negative
Bad migrane and need to go to dancing tonight.... Not a good combination,negative
"Grinding Skyguard rep. This is less awful than I anticipated. Yet, still awful. Last tabard I need",negative
 i dunno if he saw it  happy birthday girl!,positive
 awesome,positive
 ****! I want to be at the beach in the sun,negative
OH. I am just so tired.,negative
"Well, my dog still isn`t at the shelter. I hope someone good has him",positive
 Well tell me what fashion tips you need and I`m your woman  hehehe,positive
" Hello there, Taylor  I MISS YOU. Its been 2 months </3",negative
i wear a lot of white  http://tinyurl.com/dlbltg,positive
 Always a good idea.,positive
getting nails done!!! how relaxing! benji is only 24 hours away!!!!,negative
" not here for long hun, head hurts",negative
All of a sudden I`m craving broccoli and cheese soup really bad... my mouth is watering envisioning a bread bowl in my head...,negative
 That it does  just wish more people would notice it,positive
"Wish you were here, babe",positive
This morning I rode behind a guy with a bird cage containing a plastic Tyrannosaurus rex attached to his bicycle. I couldn`t get a photo.,negative
"I love summer, but I oddly don`t want this school year to end.",positive
 lolz at your modesty...***kix rox***...now all the gals will be lined up at your door,negative
"morning, how is everone? sing to me  You tuck me in, Turn out the light, kept me safe and sound at night. (8)",positive
i so can`t be bothered working tomorrow!,negative
 kittens are cute then they grow up n become CATS,positive
 .. Guess ol` Tom has another mission impossible ... some of this is like trying to prove innocence .. I didn`t get hugged,negative
 Hey I was scared last night at 3:17 because of you... and I had several bad nightmares,negative
 gawd. People still remember the preggers comment. Hate you!,negative
oh no my tweetdeck is malfunctioning :O il have web will its fixd,negative
 yeah freakin sucks!!,negative
#followfriday _1001 cuz ive never been added to anyone`s followfriday either  & cuz he`s got a cool picture,positive
wishes that you would see not with your eyes but with your heart.  http://plurk.com/p/sv5bb,positive
 Awwww   i`ve got some photos of cute bunnies,positive
long day and i still have to mow the lawn,negative
 why has it been so long since i have talked to you let alone seen you?? it makes me sad,negative
Happy mothers day mom  ?,positive
I want cookies for breakfast! Luckily I`m an adult and can do that!,positive
Mowing #6. I hate my lawn,negative
 yeah.. I left cause my pc can`t run the client anymore. I had thought I would have a new one by now..,negative
Feeling bad for  profile pic,negative
movie then sleep! Today was good day  [{H!--D3ff}],positive
